,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Bahamas, The",,0,250,250,250,500,500,500,500,500,500,500,500,500,500,500,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,,12,23,23,22,26,26,34,37,40,74,74,74,61,61,47,47,47,47,47,58,58,45,45.25,45.25,45.25,45.25,45.25,47.888,47.888,47.888,47.888,63,63,63,63,47.25,47.25,41.2,41.2,41.2,41.2,41.2,41.2
Brazil,,502,505,564,718,792,962,986,1118,1161,1209,1205,1402,1407,1219,1301,1305,1305,1321,1407,1407,1397,1412,1406.22,1402.52,1252.86,1252.86,1256.06,1256.06,1662.297,1772.273,1783.31,1918.081,1785.841,1865.14,1914.102,1920.134,1908.278,1908.278,1908.278,1908.278,1908.278,1908.278,1917.333
Cayman Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,,91,111,136,124,124,124,149,140,130,144,139,139,141,141,141,141,141,150,141,147,147,146,142.7,143.7,164.615,164.615,177.82,192.29,204.64,204.64,204.64,204.849,204.849,204.849,204.849,226.8,226.8,226.8,226.8,226.8,226.8,226.8,226.8
Colombia,,137,138,174,172,166,172,172,165,165,174,194,199,199,214,211,211,211,226,226,227,227,247,274.1,264.4,248.85,248.85,248.85,248.85,248.85,248.85,285.85,285.85,285.85,285.85,285.85,285.85,285.85,285.85,285.85,285.85,285.85,290.85,290.85
Costa Rica,,8,8,8,8,8,11,8,8,10,12,11,15,15,16,17,16,15,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,24,24,24,24,24,24,24,24
Cuba,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,280,280,280,301.4,301.4,301.4,301.4,301.4,301.4,301.4,301.4,301.4,301.4,301.4,301.4,301.4,301.4,301.4,301.4,301.4
Dominica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,,0,0,0,16,46,46,48,47,46,46,48,48,48,48,44,44,44,44,49,47,49,48,48,48,48,48,50,50,50,51,49.25,49.25,49.25,48.3,48.3,48.3,48.3,48.3,47,47,50,50,50
Ecuador,,33,35,36,36,35,44,44,41,96,93,86,87,90,79,84,82,88,88,122,123,145,142,141.8,147,148,148,148,148,168,176,176,176,176,176,176,176,176,176,176,176,176,176,176
El Salvador,,14,13,14,14,14,14,16,16,17,17,16,16,16,16,16,16,16,17,17,17,17,16,16.3,15.1,18,18.984,19.4,20.5,19.8,19.8,20,21,22,22,22,22,22,22,22,22,22,22,22
Falkland Islands (Islas Malvinas),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,,21,26,26,26,26,25,25,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,22,16,16,16,0,0,0,0,0,0,0,0
Guyana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,,10,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,,32,36,35,31,33,33,33,33,33,33,34,22,22,36,36,36,36,36,36,34,34,34,34.2,32,35.5,35.5,35.5,35.5,35.5,35.5,34.2,34.2,34.2,34.2,36,36,36,36,36,36,36,36,36
Martinique,,0,0,12,11,14,10,10,10,12,14,14,14,11,11,11,13,13,13,13,13,12,12,12,16,16,16,16,16,16.09,16.09,16.09,17,17,17,17,17,17,17,17,17,17,17.329,17.329
Montserrat,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,,335,330,360,360,425,460,409,370,362,362,362,362,362,362,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,250,320,320,320,320,320,320,320,320,320,320,320,320,320
Nicaragua,,22,22,14,13,13,13,13,15,15,15,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16.5,16.5,16.5,17,18.5,21,20,20,20,20,20,20,20,20,20,20,20,20
Panama,,78,75,75,75,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,40,100,100,40,60,60,60,60,60,60,60,60,60,0,0,0,0,0,0,0,0
Paraguay,,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Peru,,92,92,106,102,107,130,130,116,171,170,170,169,162,168,169,176,176,176,182,172,172,189,188.82,188.82,184.25,184.25,182.25,182.25,182.25,182.25,182.25,182.25,182.25,190.95,190.95,192.95,192.95,192.95,192.95,192.95,192.95,198.95,198.95
Puerto Rico,,152.8,152.8,218.8,257.8,283.8,283.8,283.8,283.8,283.8,260.4,270.5,276.5,255.495,244.495,121,121,123,123,121,85,121,209.8,211.4,138.8,138.8,130,130,85,85,35,87,87,87,111.5,110.684,109.5,77.9,77.9,77.9,77.9,0,73,73
Saint Kitts and Nevis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65,6.65,7,7,7,7,7,7,7,7,7,7,7,7,7
Trinidad and Tobago,,430,438,464,441,461,461,461,461,461,461,456,456,456,375,375,320,260,300,300,300,300,246,246,246,305,245,245,245,245,160,160,160,160,160,165,165,175,168,168,168,168,168,168
Turks and Caicos Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,,40,40,43,40,43,43,46,46,43,43,40,40,45,45,45,45,45,45,45,33,33,33,28.5,28.5,35,35,37,40,37,37,37,37,37,37,50,50,50,50,50,50,50,50,50
Venezuela,,1313,1526,1376,1499,1532,1532,1451,1446,1446,1446,1446,1349,1323,1284,1224,1224,1230,1225,1201,1201,1201,1167,1171,1167,1167,1167,1177,1177,1177,1187.2,1238.88,1282.1,1282.1,1282.1,1282.1,1282.1,1282.1,1282.1,1282.1,1282.1,1282.1,1282.1,1282.1
"Virgin Islands,  U.S.",,220,250,440,418,590,590,728,728,782,700,700,700,700,515,515,545,545,545,545,545,545,545,545,545,545,505,505,495,495,495,495,495,495,470,495,495,495,500,500,500,500,500,500
"Virgin Islands, British",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe,,13912,15246,16498,17116,18418,19036,20289,20936,20761,20372,17332,17244,16876,15123,14319,13944,12599,12211,12482,12342,12727,14225,16224.908,16700.823,16983.047,16842.633,16580.292,16457.083,16656.388,16674.087,16484.878,16546.083,16547.438,16565.224,16623.545,16680.691,17102.517,17047.011,17015.231,17049.197,17053.207,16786.675,16591.686
Albania,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,40,40,40,40,40,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3
Austria,,94,160,155,221,220,220,280,280,280,280,280,280,244,269,268,273,204,204,204,204,204,204,210,210,210,210,210,210,210,208.6,208.6,208.6,208.6,208.6,208.6,208.6,208.6,208.6,208.6,208.6,208.6,208.6,208.6
Belgium,,669,704,836,832,817,867,946,1095,1067,972,1064,1056,1035,693,694,693,652,648,631,631,614,602,602,607,607,614,609.75,629.75,629.75,714.75,719,768.013,791.013,791.013,793.013,803.013,857.629,790.629,797.629,797.629,797.629,740.321,739.821
Bosnia and Herzegovina,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,300,300,300,300,300,324.6,133.5,115.24,115.24,115.24,115.24,115.24,115.24,115.24,115.24,115.24,115.24,115.24,115.24,115.24
Croatia,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,143.472,293.472,294.172,294.275,294.275,294.275,235.9,235.9,252.575,292.99,260.337,250.337,250.331,250.317,250.317,250.317,250.317,250.317,250.317,250.317
Cyprus,,0,0,0,12,15,15,15,15,15,15,16,16,16,16,15,16,16,16,16,17,18,19,18.6,18.6,22,22,22,26,27,27,27,27,27,27,27,0,0,0,0,0,0,0,0
Czech Republic,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,307.25,307.099,187.139,187.139,187.139,198,186.055,198,198,198,198,198,198,198,183,183,183,183,183
Denmark,,186,196,228,222,227,220,226,226,220,215,214,215,215,215,174,176,166,166,177,177,187,186,185.5,183.5,183.5,188.2,189.1,189.1,131.7,135,135,176.4,176.4,176.4,176.4,176.4,176.4,176.4,174.4,174.4,174.4,174.4,174.4
Faroe Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,,174,173,168,186,196,196,336,336,336,336,336,336,299,299,299,299,241,241,241,241,241,241,241,200,200,200,200,200,200,200,200,200,238.8,251.8,251.8,251.8,251.8,251.8,251.8,255.6,258.5,258.5,260.575
Former Czechoslovakia,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,444.233,281.781,168.246,168.246,167.264,167.264,167.264,167.264,158.246,158.246,158.25,158.25,158.25,--,--,--,--,--,--,--
Former Yugoslavia,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,,2317,2534,2692,2949,3140,3342,3312,3517,3456,3467,3399,3342,3291,2871,2670,2386,1947,1834,1941,1876,1820,1816,1815.63,1851.43,1861.43,1768.43,1781.63,1785.58,1865.223,1946.923,1901.923,1895.473,1896.493,1903.433,1951.348,1951.348,1979.488,1958.794,1931.799,1986.197,1983.668,1843.831,1718.803
Germany,,2359,2542,2564,2698,2826,2987,3103,3075,3081,3103,--,--,--,--,--,--,--,--,--,--,--,2065,2061.8,2233,2265.06,2316.86,2126.36,2108.3,2183.72,2246,2275.3,2259,2258.8,2267.1,2289.45,2323.2,2428.192,2417.418,2417.083,2417.523,2410.662,2417.662,2417.162
"Germany, East",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,,102,102,110,125,314,411,420,407,407,411,431,428,427,422,369,390,390,385,385,385,385,395,395.5,395.5,395.5,400.5,400.5,395.5,391.5,387.5,382.5,406.5,406.5,406.5,401.4,401.4,413,413,423,423,423,423,423
Hungary,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,235,241.5,241.5,232,232,232,232,232,232,161,161,161,161,161,161,161,161,161,161,161
Iceland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,,55,55,55,58,58,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,52.5,52.5,55,65,61.75,66.5,71.25,71.25,71.25,71.25,71.25,71,71,71,71,71,71,71,71
Italy,,2963,3235,3682,3593,3882,3953,4082,4259,4226,4197,4131,4092,4003,3283,3050,3095,2738,2679,2563,2450,2804,2385,2386.358,2420.358,2262,2259.818,2284.498,2261.818,2453.418,2446.218,2340.6,2359.1,2282.8,2300.8,2313.415,2320.915,2324.409,2337.229,2337.229,2337.229,2337.229,2337.229,2337.229
Luxembourg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,51.18,51.18,51.18,51.18,51.18,51.18,51.18,51.18,51.18,51.18,56.73,56.73,50,50,50,50,50,50,50,50
Malta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0
Netherlands,,1362,1393,1644,1826,1826,1841,1985,2031,1869,1857,1828,1827,1708,1552,1552,1499,1468,1401,1381,1381,1381,1197,1218.5,1230.5,1183.5,1186.5,1186.5,1186.5,1187.842,1187.842,1187.842,1203.842,1205.842,1206.842,1221.5,1227.5,1221.873,1211.886,1226.886,1207.714,1205.714,1208.607,1196.571
Norway,,123,202,167,173,168,168,259,259,264,264,264,253,243,243,243,244,240,240,240,239,295,288,288,285.2,287.25,284.74,307,307,307,312,358,305,310,310,310,310,310,310,315,315,319,319,319
Poland,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,333,333,352,352,352,365.2,382,382,382,382,350,350,350,466.5,496.5,492.95,492.95,492.95,492.95,492.95
Portugal,,37,84,84,80,110,110,190,190,415,361,379,341,365,365,282,290,296,294,294,313,313,294,294.3,294,294,304.285,304.285,304.172,304.172,304.3,304.3,304.172,304.172,304.172,304.172,304.172,304.172,304.172,304.172,304.172,304.172,304.172,304.172
Romania,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,656.5,737.102,680.884,650.788,655.434,558.77,541.7,521.715,499.037,504.037,504.037,501.182,501.182,516.557,516.557,516.557,516.557,516.557,516.557,537.277,537.277
Serbia,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,214.826,214.826,214.826,214.826,214.826,214.826,214.826
Slovakia,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,193.4,193.4,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
Slovenia,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,14.7,14.7,11.4,12,12,12,12,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
Spain,,685,846,866,1026,1163,1165,1323,1278,1271,1425,1456,1464,1517,1522,1493,1493,1367,1305,1305,1285,1293,1321,1321,1301.328,1283,1283,1326.65,1295.65,1293.65,1315.5,1315.5,1293.5,1293.5,1321.5,1271.5,1271.5,1271.5,1271.5,1277,1271.5,1271.5,1271.5,1271.5
Sweden,,230,236,259,244,248,248,413,435,424,411,458,451,471,453,453,439,429,437,437,427,428,428,434.5,427.5,427.5,427.5,436.5,427,427,427,427,423,423.5,423.5,423.5,434,434,434,437,437,437,437,437
Switzerland,,106,102,108,120,140,138,138,137,137,137,137,102,137,137,137,127,137,65,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,72
Turkey,,149,290,292,286,306,316,316,326,326,338,356,356,367,467,472,460,460,460,676,725,725,729,703.58,713.58,713,713.275,713.255,683.095,708.255,688.095,690.915,694.115,719.275,719.275,714.275,714.275,714.275,714.275,714.275,714.275,714.275,714.275,714.275
United Kingdom,,2301,2392,2588,2465,2762,2783,2889,3014,2911,2527,2527,2629,2482,2260,2092,2008,1792,1780,1803,1803,1831,1867,1856.14,1842.64,1866.64,1869.24,1887.99,1940.99,1825.75,1854,1784.672,1771.04,1784,1788.5,1817.383,1825.39,1876.939,1887.068,1857.668,1857.668,1866.168,1766.168,1767.168
Eurasia,,5640,6270,6680,7260,7810,8240,9225,9100,9979,10478,10950,11400,11600,11750,12000,12200,12200,12260,12260,12300,12300,12300,0,10117.56,10109.359,10241.879,10324.371,10340.52,10433.932,10012.266,10025.145,8663.06,8663.06,8661.56,8618.73,8282.615,8117.355,8115.355,8204.891,8204.891,8204.891,8209.302,8209.302
Armenia,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,406.34,406.34,441.808,441.808,441.808,441.808,441.808,441.808,441.808,441.808,441.808,398.978,398.978,398.978,398.978,398.978,398.978,398.978,398.978,398.978
Belarus,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,831.54,831.54,835.419,724.967,724.967,543.823,473.923,493.323,493.323,493.323,493.323,493.323,493.323,493.323,493.323,493.323,493.323,493.323,493.323,493.323
Estonia,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former U.S.S.R.,,5640,6270,6680,7260,7810,8240,9225,9100,9979,10478,10950,11400,11600,11750,12000,12200,12200,12260,12260,12300,12300,12300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,106.34,106.34,106.436,106.436,106.436,106.436,106.436,108.836,106.436,106.436,106.436,106.436,0,0,0,0,0,0,0,0
Kazakhstan,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,390.38,390.38,393.611,393.611,427.093,427.093,427.093,427.093,427.093,427.093,427.093,427.093,345.093,345.093,345.093,345.093,345.093,345.093,345.093,345.093
Kyrgyzstan,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Latvia,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,266.6,263.42,267.093,263.42,240,263.42,263.42,263.42,263.42,263.42,263.42,263.42,263.42,190,190,190,190,190,190,190
Moldova,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,6463.32,6463.32,6526.672,6720.905,6732.905,6869.006,6745.213,6672.964,5435.48,5435.48,5435.48,5435.48,5432.801,5340.961,5338.961,5428.497,5428.497,5428.497,5430.908,5430.908
Tajikistan,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,236,238,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97
Ukraine,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,1243.72,1236.699,1259.155,1261.539,1245.626,1247.105,1085.132,1148.46,1026.259,1026.259,1024.759,1024.759,879.759,879.759,879.759,879.759,879.759,879.759,879.759,879.759
Uzbekistan,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,173.32,173.32,174.715,174.715,174.715,288.271,222.271,222.271,222.271,222.271,222.271,222.271,222.271,222.271,222.271,222.271,222.271,222.271,224.271,224.271
Middle East,,2209.7,2802.9,2560.6,2471.7,2577,2966,2970,3023,3182,3209,3164,3375,2944,3219,3429,3593,3815,3863,4147,4336,4447,5023,4992.894,4924.194,5030.84,5256.04,5296.84,5396.79,5635.04,5755.54,5925.94,5965.24,6045.99,6291.615,6461.615,6471.615,7033.815,7038.115,7036.215,7036.215,7245.365,7245.365,7277.365
Bahrain,,205,216,216,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,243,243,243,243,243,250,250,250,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,254.6,248.9,262,262,253.65,253.65,253.65
